"Area","MTU","Biomass - Actual Aggregated [MW]","Biomass - Actual Consumption [MW]","Energy storage - Actual Aggregated [MW]","Energy storage - Actual Consumption [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Consumption [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Consumption [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Gas - Actual Consumption [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Hard coal - Actual Consumption [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil - Actual Consumption [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Oil shale - Actual Consumption [MW]","Fossil Peat - Actual Aggregated [MW]","Fossil Peat - Actual Consumption [MW]","Geothermal - Actual Aggregated [MW]","Geothermal - Actual Consumption [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Run-of-river and poundage - Actual Consumption [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Consumption [MW]","Marine - Actual Aggregated [MW]","Marine - Actual Consumption [MW]","Nuclear - Actual Aggregated [MW]","Nuclear - Actual Consumption [MW]","Other - Actual Aggregated [MW]","Other - Actual Consumption [MW]","Other renewable - Actual Aggregated [MW]","Other renewable - Actual Consumption [MW]","Solar - Actual Aggregated [MW]","Solar - Actual Consumption [MW]","Waste - Actual Aggregated [MW]","Waste - Actual Consumption [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Offshore - Actual Consumption [MW]","Wind Onshore - Actual Aggregated [MW]","Wind Onshore - Actual Consumption [MW]"
"BZN|CH","09.09.2025 16:00 - 09.09.2025 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1544","","2072","","2040","","n/e","n/e","1557","","n/e","n/e","n/e","n/e","1429","","n/e","n/e","n/e","n/e","7",""
"BZN|CH","09.09.2025 17:00 - 09.09.2025 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2921","","2061","","2578","","n/e","n/e","1556","","n/e","n/e","n/e","n/e","987","","n/e","n/e","n/e","n/e","7",""
"BZN|CH","09.09.2025 18:00 - 09.09.2025 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3134","","2049","","2750","","n/e","n/e","1557","","n/e","n/e","n/e","n/e","453","","n/e","n/e","n/e","n/e","6",""
"BZN|CH","09.09.2025 19:00 - 09.09.2025 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3214","","2036","","2916","","n/e","n/e","1558","","n/e","n/e","n/e","n/e","74","","n/e","n/e","n/e","n/e","5",""
"BZN|CH","09.09.2025 20:00 - 09.09.2025 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3209","","2024","","2803","","n/e","n/e","1560","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","4",""
"BZN|CH","09.09.2025 21:00 - 09.09.2025 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2694","","2011","","2611","","n/e","n/e","1563","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","4",""
"BZN|CH","09.09.2025 22:00 - 09.09.2025 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1737","","1999","","2029","","n/e","n/e","1564","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","4",""
"BZN|CH","09.09.2025 23:00 - 10.09.2025 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1546","","1987","","1629","","n/e","n/e","1566","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","5",""
"BZN|CH","10.09.2025 00:00 - 10.09.2025 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","749","","2042","","1082","","n/e","n/e","1567","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","5",""
"BZN|CH","10.09.2025 01:00 - 10.09.2025 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","795","","2037","","835","","n/e","n/e","1567","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","5",""
"BZN|CH","10.09.2025 02:00 - 10.09.2025 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","643","","2034","","780","","n/e","n/e","1568","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","6",""
"BZN|CH","10.09.2025 03:00 - 10.09.2025 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","851","","2032","","750","","n/e","n/e","1569","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","5",""
"BZN|CH","10.09.2025 04:00 - 10.09.2025 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","980","","2032","","1056","","n/e","n/e","1569","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","5",""
"BZN|CH","10.09.2025 05:00 - 10.09.2025 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1237","","2035","","1805","","n/e","n/e","1569","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","4",""
"BZN|CH","10.09.2025 06:00 - 10.09.2025 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2586","","2039","","2804","","n/e","n/e","1568","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","4",""
"BZN|CH","10.09.2025 07:00 - 10.09.2025 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2780","","2047","","2916","","n/e","n/e","1568","","n/e","n/e","n/e","n/e","70","","n/e","n/e","n/e","n/e","4",""
"BZN|CH","10.09.2025 08:00 - 10.09.2025 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3050","","2057","","2993","","n/e","n/e","1568","","n/e","n/e","n/e","n/e","357","","n/e","n/e","n/e","n/e","3",""
"BZN|CH","10.09.2025 09:00 - 10.09.2025 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3112","","2071","","2833","","n/e","n/e","1567","","n/e","n/e","n/e","n/e","805","","n/e","n/e","n/e","n/e","2",""
"BZN|CH","10.09.2025 10:00 - 10.09.2025 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1970","","2088","","2212","","n/e","n/e","1565","","n/e","n/e","n/e","n/e","1215","","n/e","n/e","n/e","n/e","2",""
"BZN|CH","10.09.2025 11:00 - 10.09.2025 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1624","","2108","","1867","","n/e","n/e","1562","","n/e","n/e","n/e","n/e","1555","","n/e","n/e","n/e","n/e","3",""
"BZN|CH","10.09.2025 12:00 - 10.09.2025 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1313","","2133","","1247","","n/e","n/e","1560","","n/e","n/e","n/e","n/e","1571","","n/e","n/e","n/e","n/e","4",""
"BZN|CH","10.09.2025 13:00 - 10.09.2025 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1085","","2161","","842","","n/e","n/e","1558","","n/e","n/e","n/e","n/e","1876","","n/e","n/e","n/e","n/e","6",""
"BZN|CH","10.09.2025 14:00 - 10.09.2025 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1103","","2194","","792","","n/e","n/e","1560","","n/e","n/e","n/e","n/e","1880","","n/e","n/e","n/e","n/e","5",""
"BZN|CH","10.09.2025 15:00 - 10.09.2025 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1404","","2230","","1215","","n/e","n/e","1560","","n/e","n/e","n/e","n/e","1921","","n/e","n/e","n/e","n/e","4",""
"BZN|CH","10.09.2025 16:00 - 10.09.2025 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1715","","2269","","1813","","n/e","n/e","1559","","n/e","n/e","n/e","n/e","1469","","n/e","n/e","n/e","n/e","5",""
"BZN|CH","10.09.2025 17:00 - 10.09.2025 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2435","","2310","","2592","","n/e","n/e","1559","","n/e","n/e","n/e","n/e","1021","","n/e","n/e","n/e","n/e","7",""
"BZN|CH","10.09.2025 18:00 - 10.09.2025 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3032","","2355","","2737","","n/e","n/e","1558","","n/e","n/e","n/e","n/e","488","","n/e","n/e","n/e","n/e","7",""
"BZN|CH","10.09.2025 19:00 - 10.09.2025 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3229","","2401","","3087","","n/e","n/e","1559","","n/e","n/e","n/e","n/e","64","","n/e","n/e","n/e","n/e","7",""
"BZN|CH","10.09.2025 20:00 - 10.09.2025 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2760","","2449","","3033","","n/e","n/e","1559","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","6",""
"BZN|CH","10.09.2025 21:00 - 10.09.2025 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1786","","2498","","2580","","n/e","n/e","1560","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","7",""
"BZN|CH","10.09.2025 22:00 - 10.09.2025 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","916","","2548","","1481","","n/e","n/e","1562","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","10",""
"BZN|CH","10.09.2025 23:00 - 11.09.2025 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","468","","2599","","782","","n/e","n/e","1564","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","13",""
"BZN|CH","11.09.2025 00:00 - 11.09.2025 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","271","","1815","","748","","n/e","n/e","1564","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","14",""
"BZN|CH","11.09.2025 01:00 - 11.09.2025 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","348","","1793","","669","","n/e","n/e","1566","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","15",""
"BZN|CH","11.09.2025 02:00 - 11.09.2025 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","417","","1772","","643","","n/e","n/e","1567","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","15",""
"BZN|CH","11.09.2025 03:00 - 11.09.2025 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","375","","1755","","626","","n/e","n/e","1568","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","17",""
"BZN|CH","11.09.2025 04:00 - 11.09.2025 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","269","","1740","","736","","n/e","n/e","1567","","n/e","n/e","n/e","n/e","0","","n/e","n/e","n/e","n/e","20",""
